ID,NAME,SERVER,BANNER_IMG,RATING,BRACKET_WINS,FLAIR,H,STATUS,J
008999dc-a449-4070-8842-d80d70f38f27,franco'fighters,111,https://drive.google.com/uc?export=view&id=1HTmHEgbXNWMjuPVZ2jDPoVphawColTgC,629.8900697,0,,,Disbanded,
00e339c0-c7f9-4c26-b0d8-ed36549c173c,LION KING,467,https://drive.google.com/uc?export=view&id=1gukx2dvz3VgcuY5PBYVI0-62s-Wt2JDB,606.0435031,0,,3,Active,
01412fbf-df11-419d-9ae9-5dd06f789c48,Knight Templars,284,,555.0779858,0,,6,Active,
01a13655-097e-4348-8b63-3376081331f7,Demonic VengeINTs,97,https://drive.google.com/uc?export=view&id=1WAb7Yu22fX87qOfC0tQZAS9i8tjKFm8v,608.0148218,0,,1,Active,
0239c21d-214b-4fdf-b9c2-6a907d711cf9,~ France ~,47,,568.86826,0,,,Active,
02d14141-665a-4c9e-8716-95f0a79605bc,Clearly Legends,140,,583.3556719,0,,,Retired,
02f3f062-620a-457a-8700-75c2d14e31a7,Squirters,398,https://drive.google.com/uc?export=view&id=1yYbAGS4dMmpIrpvZ_ds5iqgE7F0ZRmAt,690.9827832,0,,3,Active,
03bcb290-e9c5-4dc8-bc86-7b9a88ce76c5,Phoenix,333,https://drive.google.com/uc?export=view&id=1-x9R0dy9fdY3zcU3U5kNg74nT1KU5ngt,666.7406388,0,,4,Active,
042384ee-1400-4c88-8945-3d1753bb1809,Total-D,168,,599.5462131,0,,1,Active,9865
0473941c-8fe5-4967-a3d1-fbc7ff1a4ed1,[I.A.F] 放蕩者的茶會,123,https://drive.google.com/uc?export=view&id=1SLu5xkN2dMLfU6vrZkCS2Xb4vR_F2_WU,675.7403895,0,,4,Active,
04c9e67c-ed32-4b32-b989-078a9ab80400,VERðANDI [FATE],173,https://drive.google.com/uc?export=view&id=1_2s5pS5CFuoRwzSHwhXKiimzCA1bkv4b,719.0426157,0,,4,Active,
04e3cd25-0651-4a5d-9587-0aca916282c8,Abyss,100,https://drive.google.com/uc?export=view&id=16cxQTmdNYDVcHbXRUG2XpT-Rn9NJ2c6r,694.9822699,2,,3,Active,
053619a6-d12e-46ec-b5a1-e123484da153,TOP DOG,257,https://drive.google.com/uc?export=view&id=1TRC-cLTVq8ltKbDyY-WrjT_OaQ6v78Hg,634.4571429,0,,7,Active,
05b87bce-87d6-4513-98fc-5170075729eb,Maelstrom,94,,584.3076236,0,,2,Active,
05eb3d73-1c31-4560-a450-b4a5c61b0454,Invictus,93,,583.0087923,0,,3,Active,
05ffd73a-7be5-40b7-a942-a146ea5d1d84,Gravy Boat,141,https://drive.google.com/uc?export=view&id=14vUwJeCeaM_zltdcTY4d1OJvXKJCe1S5,608.7948611,0,,,Active,
064fbfd3-de45-43c4-8a7e-fc40b891ab58,Ex Nihilo,259,,572.163929,0,,,Active,
0665c10e-9380-4201-a078-519507f60634,Jaguwar,289,,583.3472136,0,,,Disbanded,
06ed47fd-16d1-48c3-be01-2726ab6fdd33,VØØĐOO ฿ⱤɆ₩,361,https://drive.google.com/uc?export=view&id=163AkLn_-68vqUh8q2tnwy5-USkWT46KA,602.3457812,0,,,Disbanded,
070516be-9f5e-4bde-856e-aa148a403731,FLAAADS,113,https://drive.google.com/uc?export=view&id=1M9fD6ZgHHaeNiMzlKMSQ_6MCJV1D7UX8,602.4019186,0,,2,Active,67117138
076f1e17-acb0-4ba3-8e2b-9d2474c23b9a,Fire Team Espérance,170,https://drive.google.com/uc?export=view&id=1LotBd3B9lHQjsBHCixf9ojwZKYEFXp4P,643.7875566,0,,5,Active,43155
07b0350a-1772-48aa-b735-34b909f2f467,Crabby Crab,248,,580.4886394,0,,4,Active,
07f551c3-b14e-4a8c-bae0-732c51bab2d3,THE RESISTANCE™,178,https://drive.google.com/uc?export=view&id=1I5wtljwRCaoJ3vRd0cfR8WgI_cmJqIEP,653.6305981,0,,4,Active,
08b2ac5e-58ed-4193-b486-ad3b5597aa3e,Lightning,192,,594.5401664,0,,,Active,
09333437-f486-4497-8ffd-a20835c79ffb,Vikings of Mayhem,97,https://drive.google.com/uc?export=view&id=1g6nuRFqIYYqvjD5DJOlWqvpWH_9tWZHr,678.12554,0,,8,Active,
098a1698-43dd-45fe-a7be-7e78990a60fa,Mystic Hurricane,150,,614.0349782,0,,,Active,
0a1ec1d5-64b5-4672-9c2a-93622223502f,Ragnarok,192,https://drive.google.com/uc?export=view&id=1vxjvGD3_WJqyGTmcugddoHJAiBe3zX0v,647.1401118,0,,6,Active,67109818
0a8db991-16a3-4479-a6f3-5e7bc859271e,JAG,251,https://drive.google.com/uc?export=view&id=1RRfyjxmLRjLQjqOrOazyf5WTB7JiHF2F,688.8118853,0,,,Disbanded,
0adf7d30-2bba-4c14-a85a-2e930f4ec63f,Odins Zorn,116,https://drive.google.com/uc?export=view&id=1YOA8QoKvPoTc13NDItxeDCHfTllbFIog,670.4150348,0,,2,Active,
0aeb220b-451a-4d2e-8c3a-eb5ce37cf809,Kingfishers,77,https://drive.google.com/uc?export=view&id=1AWJ5Z3VrLfMe7S6z43CUEZJm1VeNtkce,623.2739194,0,,2,Active,
0afa8828-265a-4d03-b898-c20468425d1c,Germany,101,,590.8052461,0,,,Active,
0bec9e8c-596e-41c0-9b27-d6c9d9789952,Regulators II,108,,538.1398095,0,,7,Active,
0c9e63de-85a2-4fdf-b9f1-7817c660bd07,Spread Eagle鳳凰,124,https://drive.google.com/uc?export=view&id=1ptlt-IdA4KPRFO1ch-AFYJ5utM-l01LU,700.65,2,,,Retired,
0cc6d717-fd4d-478b-a73c-3ba6c2cbad55,URðR [FATE],173,https://drive.google.com/uc?export=view&id=1zIkA1NsMPq9cjiRNR8oINHNheBTcSQ6E,616.9643342,0,,,Active,
0cf78829-8066-4f92-ae9d-2f6efbf9a7ca,ASGARD,239,https://drive.google.com/uc?export=view&id=1twAgqAMOvaC4ozhQMYWRILltAMi8MnjD,583.845874,0,,,Disbanded,
0d3f484f-eb40-43ee-9ee8-f7da735ab2a1,Barun's Ohana,245,https://drive.google.com/uc?export=view&id=1g5Hxv6U_v-CDd5WI_F8jjJ3PF9eX2D17,587.8,0,,,Disbanded,
0d5fed0c-ce26-49ad-b5b4-03f596658a96,Infinity Gravy,141,,549.4749303,0,,,Active,83896615
0d64d682-d405-4ad6-9150-9144f48aa741,United,58,,574.4649023,0,,,Active,
0d79da7b-e552-47a3-b05f-9e9292de60cb,Imperial Knights,221,https://drive.google.com/uc?export=view&id=1d76Gqc3jqI1NJGbjIn_avBe_ommxghmE,607.1451369,0,,3,Active,
0e2fa1cc-66a3-4fa6-8326-e60ef2b12d41,Devils,114,https://drive.google.com/uc?export=view&id=1q3u-BMlDZzWZy0p73--WVcSeCf-UojuD,600.6405981,0,,3,Active,
